k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
100000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,4062766355822398694065927076079869162030134490719818720711,5288037939828047272296417406419256054566968779666925569684,81552902878,45800221009,3124644502634984999684234474960604384315096976621029596618,3616022511773720306359012507918349515839103983009657144903,20930366929,78078433198
200000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,968447224106374390954740858423874918442727994209525572806,3403781652573571864786474333322658892687819029832214275894,20930366928,78078433198,1451447079888279959975419145873214485457359415327761610727,4681952027515326861761897925373470191401832916954702936098,116293052837,97759543662
300000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,869235324803421450290505856006262057593896073301946147234,5657446147827219532320791568549566738784080501406955592935,75506372516,49261255796,3868585046018550002811828681937571701373254200544393025359,620571443288908338401564963397996505656118784653695024172,93784043124,29653973940
400000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,3859708688205217436061476477177733030277454164349000531062,2955374817337347527436585847351320665835038549438819740213,116293052836,97759543662,3914308535134761752836694589423091789867264169408039152601,5325158564900170716178342399266798319184176586360402457840,76001854075,1382076621
500000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,3048676833592886290588218072937283130423201125808826386806,5068790170240176543460596268715297737124737526828096323268,83307721009,27423826592,5492646879740332157051028825880929728975753598780993437176,1172797302820939182740062464600036282812384781402573009485,70567435217,61252037732
600000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,4680942227260682567820771407155855002223501908801901518889,1522247815299019565748971703153910741143611498782742903481,93784043123,29653973940,3669200938641509062215348732790947031600701757038487068773,6185836943695244176156928113839181854337012784216898499379,102826925193,19810281409
700000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,4093818162528706043543406738384395514932988094334723850431,4412182933851738593462780973942067616147982365741854218335,55211444748,4105793392,4618856549026791204535555498000493446148399298380460498478,5821787033306877608746166073644800099973036576239951995832,120716546496,15024553434
800000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,3419447470342556170575092890044269464072838870769088312310,5218246653559989117816313585770943187672717013622993625037,883538784377957986248806399018721820695210164731172216415,4726072905735997765021260243432609256164829380905421153866,99732405978,62422517251,5387445872548230267618232506579927411011743767865165862136,4280587634959327032288189793849772410530780096282651105196,60396728920,7085189054
