k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
2200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1194337140735121555640485839441,805881632397284417666265564466,386255621449591,238388809545196,815043309871896175570465924770,151286861998931787451933091166,1056916602960640,642912047706737
2300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1156443768273380798559587214331,818099018310625652108718415332,66108102000577,525471913407273,573723641193244379633003348649,310587743642937644124935968882,741216015183653,87919261520481
2400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,261829713450956656001336373397,1171975787589980726884246407838,908992029362954,1028846770880867,187886565495446728435504626613,75143045959766345549258073451,1116982070744574,159112168545912
2500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,874211081698972666808199365925,1177594203680840039439910644892,196877083112739,456082276478609,424645940526231559357012791904,279634307498310191384659329444,469853238765314,890145222143113
2600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,275008232865896473443914829765,1298937142361041804131833820234,195606875314140,721007983027959,1087755659063983896001564701011,750927417218855702676731080062,226959511835015,864952010816250
2700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,834315296115498452744908474544,812447346062440989030487983109,906027614888066,13133006500852,644920770547528429880168718714,519189532342536331549369665544,9423178524033,1021472782853604
2800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,544434285270131021109087450760,1042641720137925347447386916003,1091080527112318,401839725438559,1173972924941371797683518200851,930451869138594308646205294343,38875425532852,266958631042933
2900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,727828856824714514464412690205,621872475859038330041518867304,87160510018111,860823568881957,829366522749571839077061619087,346419893625396241498735111363,522597046339818,656848843162460
3000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,810794493166228115108413618549,349868498331539907407890386089,573547303610351,458723609171976,34881433915515855507558341950,750846418450499090103573638315,874123779387002,862925160411994
3100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,264892886881499129169643413436,781835730109588996158257336920,519232995342719,651697705852215,575187685294543941793131711739,495365613076208929084048530088,444739474412966,618882656051127
3200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1328888703388783581960676639989,536762596161477458094406522234,273220017578605,889021347888810,388464238671885813694750889611,625207328339898202798602262060,95935837893628,365597790377803
3300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,609413899152648439903853476945,1026539374657053021586824204647,771962493292798,708416085950231,1073679965559407892757814829663,308216870040464415002226032889,69122953109522,1106507207966271
3400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,425548367709427990218967972394,1252087731992145812697002053397,396841453044011,863239142960156,1007688845030456922216277365712,1090136361350222845518270551373,139987447882057,406410319999710
3500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,149632808775870258568453102363,399636757837485336491988488282,544047701705401,162083575682468,916182275763529290461184577296,907109221409375160109225227383,22634784997866,611642072802756
3600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,497136184823926974143052657931,345276917062997952552381554541,929594974672754,1143880609357401,1136888340913193316047320472559,918983367889690592182787139285,999019380032632,208325364684457
