k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
100000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,1122998490154706361953590071196313404697171727429438836661,1653770097989060948207265154691967465600890586738357411575,102296733517,83788770011,3407447713860514480887604618011089485207511790609705748686,3179806879105886482117925869126925340546855624207624100044,38627542088,45960987181
200000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,4320339613109846770937294243601534912090637410208611271184,2032241943440576571226159728031751692068466420325703247376,38627542088,45960987180,877213845761686310291150430804593983572064206629460220277,3652568155782561218407535887438381817221409778935954885848,80373407212,9339107222
300000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,4757314497891619698315022361947085058460852129224819878948,18879625423026885859890861446024502379894879093372993996,108253321622,101129936338,3310643399919518889471705386150877780579933339843211850549,3749460777850923162087692532150906906776770713955734429345,24469490328,89386130318
400000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,5368724954470198043984188716820117783442388162872808357522,1424255141059768293853388374377093458930119297302886619899,40186703606,4669553611,2139411437998091031996336285163232454603084286052884995619,6186123929469084731943530840513086805296502694503016511168,53660633119,79128649447
500000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,347742898929572810795287255210641233923011901106551656505,217351619501376851853087198409857547940725356264766069964,21083687434,66059393099,5617347802541468135186785727847529540114586876033944365145,2825494222381147545714374507218874906764495386969505347880,79284579146,28115266151
600000,-3,1379137549983732744405137513333094987949371790433997718123,6277101735386680763835789423207666416102355444464034512659,123462957881,1174279866606114365096697332768487887297957375963223949652,4949961431803646830563356003485570747327516477267074610459,4736545047265427919369079565248400752309650640747916406138,3319270018734503886557303472517658424099475531154224592996,3164486970968301880475006043416156694015972038911029393948,884718970259344139352292269013115872225005645093871286216,12234745164,44693065159,3844265068635517582372516747653458578721954845286718838451,780098385353925635984404956748289520539976724858206288852,21774822905,117634024233
