k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
100000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,143843185115857709211843210425142513776,224131301842501241019448409178191690069,9911044456,75632745229,88062447031019377953220671634523646580,241653471005521184824544321901393642945,38604800173,140919200505
200000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,88062447031019377953220671634523646580,241653471005521184824544321901393642945,38604800173,140919200505,84594844978935839316741771753283962571,189612735392785222490574612560846036759,41790258432,18560183932
300000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,246170396358499351684959560046716210749,232866995187352257888367003422088148395,71343169609,50777795391,172121314311352176348657856519394953930,131435007290755295986065407406068945453,4540215189,165449102948
400000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,84594844978935839316741771753283962571,189612735392785222490574612560846036759,41790258432,18560183932,296021833909933918113373951174238007244,18284231704160304700355607645652393345,91475565475,123029968424
500000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,90731086830583347868368139098123422610,212951266897025357871713031354337724466,40583988556,104116758616,251169060005369819425619481290983144381,72834484135250919230088873748471931827,103723720426,155646615177
600000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,172121314311352176348657856519394953930,131435007290755295986065407406068945453,4540215189,165449102948,61176219105681731131304626046329131945,307945830474112282413433091168709412169,1448534503,27773151506
