k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
100000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,232164685918179653825919263252719494201,293406080388942809203531557614121295944,4955522228,127475364268,88062447031019377953220671634523646580,241653471005521184824544321901393642945,38604800173,140919200505
200000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,177844478171323413857366581452523096459,9325710259813984888778432864264638816,38604800172,140919200505,84594844978935839316741771753283962571,189612735392785222490574612560846036759,41790258432,18560183932
300000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,38687978607651443065062358246681021663,83120735100581218435828791480100400960,71343169608,50777795391,172121314311352176348657856519394953930,131435007290755295986065407406068945453,4540215189,165449102948
400000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,185338387707847392416423370661440743641,56596914175312510624342632945816705771,41790258431,18560183932,296021833909933918113373951174238007244,18284231704160304700355607645652393345,91475565475,123029968424
500000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,57265222904319057531652537851112259157,26542850849609120995475077441227192857,20291994278,52058379308,251169060005369819425619481290983144381,72834484135250919230088873748471931827,103723720426,155646615177
600000,2,3,310717010502520989590157367261876774703,179317983307,105054201086954395233990725031530239468,239745102201079627237559363572207248282,298895957359704225465875813014457964315,113024138088148974216394115987941327433,268089997821773237357833080724563691007,117193200241779869729635321859759279849,4540215189,165449102947,61176219105681731131304626046329131945,307945830474112282413433091168709412169,1448534503,27773151506
